Team,GP,W,L,Win %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus/Minus
Milwaukee Bucks,15,13,2,0.867,48,119.3,44.3,90.1,49.1,14.1,36.7,38.5,16.6,22.3,74.6,10,42.2,52.2,27.2,15.2,8.6,6.3,5.6,17.8,19.7,16.5
Boston Celtics,13,10,3,0.769,48,112.6,42,87.1,48.2,12.9,34.7,37.3,15.7,19.6,80,10.5,34,44.5,22.8,14.4,6.8,6.8,4.6,21.8,18.8,10.3
Miami Heat,15,11,4,0.733,49.7,113.5,39.5,86.8,45.5,12.5,33.5,37.5,21.9,27.8,78.7,9.7,37.4,47.1,24.7,13.7,6.2,3.5,4.9,19.6,22.3,1.5
Oklahoma City Thunder,15,11,4,0.733,48.7,109.1,40.1,84.7,47.4,9.1,28.5,31.8,19.8,24.5,80.7,8.9,34.6,43.5,20.7,13.7,7.5,5.3,3.7,18.7,22.7,3.4
Houston Rockets,15,10,5,0.667,48.7,118.3,42.5,92.4,46,15.7,43.2,36.4,17.5,22.5,78,11.6,35.3,46.9,21.5,14.5,7.9,5.3,5,20.8,19.7,4.9
Indiana Pacers,15,10,5,0.667,48.3,108.3,40.9,88.8,46,11.2,30.2,37.1,15.4,19.6,78.6,8.3,34.4,42.7,26.5,11.8,6.7,5,5.4,18.9,17.9,1.9
LA Clippers,15,10,5,0.667,48,116.7,41.5,89.9,46.1,12.2,32.7,37.3,21.6,27,80,10.7,35.9,46.6,22.9,14.9,8.5,4.1,5,20.1,22.8,7.5
Los Angeles Lakers,14,9,5,0.643,48,111.9,41.8,86.9,48.1,10.7,31.5,34,17.6,24.1,72.8,10.8,34.8,45.6,25.4,15.5,8.8,6.9,4.5,21.4,21.7,4.2
Utah Jazz,14,9,5,0.643,48,110,40.3,83.8,48.1,13,32.4,40.2,16.4,21.6,76.2,8.9,36.9,45.9,22.6,16.4,5.7,3.7,4.7,20.7,20.9,1.6
Denver Nuggets,16,10,6,0.625,48,109.7,41.8,88.7,47.1,11,30.8,35.7,15.2,19,79.9,11,31.3,42.3,27.2,13.6,7.9,4.1,4.8,18.6,19.3,3.5
Dallas Mavericks,15,9,6,0.6,48.3,114.3,40.5,90,45,15.9,43.3,36.7,17.5,22.1,79.5,11.2,37.5,48.7,24.5,12.9,6.8,4.6,3.9,18.9,19.1,7.4
San Antonio Spurs,12,7,5,0.583,50.5,116.5,44.6,92.7,48.1,11.2,28.9,38.6,16.2,21.1,76.7,7.9,39.4,47.3,25.8,13.4,8.3,6.6,4,19.2,19,0.5
Philadelphia 76ers,16,9,7,0.563,48.3,110.4,41.8,88.6,47.1,11.5,30.6,37.6,15.4,20.9,74,10.6,35.4,46.1,26.7,14.1,8.1,5.8,4.1,19.9,19.7,3.5
Toronto Raptors,16,9,7,0.563,48.6,110.6,39.2,88.1,44.5,12.4,35.2,35.2,19.8,24.6,80.7,10.6,35.3,45.9,24.9,15,9.2,5.7,4.4,20.8,20.2,2.3
Chicago Bulls,14,7,7,0.5,48.7,105.7,38.5,87.2,44.1,13.3,35.5,37.4,15.4,19.1,80.9,9.5,34.1,43.6,23.4,16.1,10.1,5.1,6,20.9,18.9,3.5
Memphis Grizzlies,16,8,8,0.5,48,113.4,42.6,90.3,47.2,12.2,34.3,35.6,16.1,20.4,79.1,9.8,34.8,44.6,27.6,14.9,8.3,5,5,21.6,19.9,-1.3
Orlando Magic,15,7,8,0.467,48,105.1,39,88.5,44.1,10.9,30.1,36.1,16.2,21.9,74.1,9.4,33.1,42.5,23.5,12.2,8.4,6.5,4.7,17.2,19,-2.7
Brooklyn Nets,13,6,7,0.462,48.8,107.8,39.3,92.2,42.7,11.5,37.1,30.9,17.7,23.5,75.4,11,41.1,52.1,23.3,15.2,6.2,4.5,6.8,20.1,20.4,0.1
Portland Trail Blazers,14,6,8,0.429,48,111.1,40.9,89.9,45.5,12.1,33.2,36.3,17.4,20.9,83.2,10.1,35.5,45.6,19.6,13.1,6,7.3,4.9,21.6,18.9,-1.9
Detroit Pistons,15,6,9,0.4,48,110,40.7,87.5,46.6,12.3,33.9,36.1,16.3,22.4,72.6,9.7,32.4,42.1,24.6,15.1,8.1,4.2,6.2,17.4,19.3,-3.1
Cleveland Cavaliers,14,5,9,0.357,48.4,103.9,40.2,88.3,45.6,10.5,31.9,32.9,12.9,18.1,71.5,10.9,33.7,44.6,22.1,18,6.9,4,6.9,16.8,18.5,-11.2
New York Knicks,14,5,9,0.357,48.4,105.8,39.4,90.9,43.3,10,31.9,31.3,17.1,23.9,71.3,11.6,36.1,47.8,21.9,13.3,7.1,5.1,5.7,21.8,19.4,-8.6
Charlotte Hornets,15,5,10,0.333,48.3,101.5,36.2,86.6,41.8,11.6,34.5,33.7,17.5,23.5,74.4,12.1,32.7,44.8,23.6,14.1,6.9,5,5.9,20.3,21.4,-4.7
Golden State Warriors,15,5,10,0.333,48.7,104.1,38.5,88.5,43.4,9.9,28.5,34.9,17.2,22.2,77.5,11.3,33.1,44.4,23.8,15,8.7,5.3,5.1,19.9,19.7,-5.4
New Orleans Pelicans,15,5,10,0.333,48.7,108.7,40.2,91.7,43.8,13.5,38.2,35.4,14.8,20.1,73.8,10.5,35.9,46.5,24.4,14.9,6.8,4.8,4.5,20.5,18.5,-3.9
Phoenix Suns,15,5,10,0.333,48.7,113.7,42.3,91.9,46,11.1,33.9,32.9,18.1,22.7,79.5,10.7,33,43.7,29.1,14.8,8.4,3.3,5.9,22.1,22.4,-3.9
Washington Wizards,15,4,11,0.267,48.3,114.5,40.4,91,44.4,12.1,33.5,36.3,21.6,28,77.1,10.9,30.8,41.7,24.4,12.7,8.8,4,5,22.8,23,-6.4
Sacramento Kings,16,4,12,0.25,48.9,105.8,40.2,88.3,45.5,11.4,33.8,33.8,13.9,18,77.4,10.5,32.1,42.6,22.1,14.4,7.1,4.3,4.4,20.4,17.7,-3.4
Atlanta Hawks,14,3,11,0.214,48.4,106.2,39.6,91.1,43.5,12,37.7,31.8,14.9,19.3,77.4,9.1,33.3,42.4,22.9,16.3,8.1,5.3,5.5,20.6,18.6,-9.2
Minnesota Timberwolves,14,2,12,0.143,49.4,109.9,38.4,90.9,42.3,12,38,31.6,21.1,26.8,78.7,11.2,33.3,44.5,19.9,15,8.6,5.8,5.6,21.2,22.4,-7.8